Sean Barry,17200.0,21200.0,38400.0
George Beier,12595.0,2050.0,14645.0
Jesse Arreguin,18015.0,5250.0,23265.0
Kriss Worthington,21859.0,9550.0,31409.0
Linda Maio,20450.0,4400.0,24850.0
Mike Alvarez Cohen,26715.0,6150.0,32865.0
Jacquelyn McCormick,12775.0,2700.0,15475.0
Alejandro Soto-Vigil,10350.0,10760.0,21110.0
Lori Droste,17325.0,24345.0,41670.0
